agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1809.21,70,33,3.0380306821880918e-05,7430.727429983925,0.4714285714285714,25.84585714285714
Diplomat_Delta,diplomatic,842.37,70,23,0.00013010398201320481,2076.7302378183363,0.32857142857142857,12.033857142857142
Aggressive_Alpha,aggressive,386.8,70,9,0.00011054674784342448,1868.9948421020329,0.12857142857142856,5.525714285714286
Diplomat_Charlie,diplomatic,256.58000000000004,70,9,0.0,1101.9622559681522,0.12857142857142856,3.665428571428572
Analyst_Echo,analytical,175.31,70,4,0.0,731.4660821899056,0.05714285714285714,2.5044285714285714
Wildcard_Golf,wildcard,44.81000000000002,70,13,0.00015365160428560697,-830.8482569856196,0.18571428571428572,0.6401428571428573
Analyst_Foxtrot,analytical,13.529999999999998,70,9,0.0,-672.3426160317326,0.12857142857142856,0.19328571428571426
Aggressive_Beta,aggressive,-1188.48,70,12,0.00024936596552530926,-2871.987900997322,0.17142857142857143,-16.978285714285715
