agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1750.3500000000001,70,30,6.575584411621094e-05,6435.578916471107,0.42857142857142855,25.005000000000003
Diplomat_Delta,diplomatic,782.9799999999999,70,24,8.235375086466472e-05,4076.147058512214,0.34285714285714286,11.18542857142857
Diplomat_Charlie,diplomatic,384.08000000000004,70,13,0.00015319310701810397,1779.6318191145613,0.18571428571428572,5.4868571428571435
Aggressive_Alpha,aggressive,285.3,70,8,0.0,312.0963068588431,0.11428571428571428,4.075714285714286
Analyst_Echo,analytical,156.68,70,5,0.0,346.5312807046312,0.07142857142857142,2.2382857142857144
Aggressive_Beta,aggressive,109.74000000000001,70,8,0.00012472271919250488,-549.2633853538588,0.11428571428571428,1.5677142857142858
Analyst_Foxtrot,analytical,88.34,70,8,0.0,-433.3936724032942,0.11428571428571428,1.262
Wildcard_Golf,wildcard,-453.2500000000001,70,12,8.31286112467448e-05,342.10291064522596,0.17142857142857143,-6.475000000000001
