agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1550.27,70,29,0.00013541353159937365,4051.3085523068094,0.4142857142857143,22.146714285714285
Aggressive_Alpha,aggressive,612.05,70,12,0.00033052762349446613,1802.6291806084641,0.17142857142857143,8.743571428571428
Diplomat_Delta,diplomatic,587.6700000000001,70,24,0.0001637438933054606,1498.5380364492887,0.34285714285714286,8.395285714285714
Diplomat_Charlie,diplomatic,199.78,70,7,0.0002846377236502511,464.95720972077316,0.1,2.854
Analyst_Foxtrot,analytical,154.27,70,8,0.00011879205703735352,-84.8713418239681,0.11428571428571428,2.203857142857143
Wildcard_Golf,wildcard,142.68,70,7,0.0,-450.516378482634,0.1,2.0382857142857143
Analyst_Echo,analytical,0.0,70,0,0.0,0.0,0.0,0.0
Aggressive_Beta,aggressive,-104.22999999999999,70,9,0.000326183107164171,-503.85373940598055,0.12857142857142856,-1.4889999999999999
