agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Aggressive_Beta,aggressive,1771.8799999999999,70,43,0.00010081779125124909,5291.738436458403,0.6142857142857143,25.312571428571427
Wildcard_Hotel,wildcard,1648.1399999999999,70,39,7.810348119491186e-05,9905.751390832947,0.5571428571428572,23.54485714285714
Aggressive_Alpha,aggressive,816.2299999999998,70,24,0.00018285711606343588,481.4775258018031,0.34285714285714286,11.660428571428568
Analyst_Echo,analytical,785.57,70,18,0.0001108249028523763,2082.323608884153,0.2571428571428571,11.222428571428573
Diplomat_Charlie,diplomatic,571.66,70,22,4.5353716070001774e-05,2598.7564176595915,0.3142857142857143,8.166571428571428
Wildcard_Golf,wildcard,123.97000000000003,70,22,0.0,931.2474697386702,0.3142857142857143,1.7710000000000004
Diplomat_Delta,diplomatic,-599.9099999999999,70,35,8.552415030343192e-05,12.721108405708804,0.5,-8.570142857142855
Analyst_Foxtrot,analytical,-1629.1000000000004,70,37,0.00013480959711848078,3780.7349275007696,0.5285714285714286,-23.27285714285715
