agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1430.1799999999998,70,25,7.981300354003906e-05,6695.481671394822,0.35714285714285715,20.431142857142856
Diplomat_Delta,diplomatic,859.05,70,28,0.00017811570848737444,3194.2349786671257,0.4,12.272142857142857
Aggressive_Alpha,aggressive,407.65,70,7,0.00042751857212611606,867.2646676365881,0.1,5.823571428571428
Wildcard_Golf,wildcard,388.79999999999995,70,13,7.776113656850961e-05,-91.57469908458359,0.18571428571428572,5.554285714285713
Aggressive_Beta,aggressive,275.81,70,9,0.00033391846550835506,-154.58940021642076,0.12857142857142856,3.9401428571428574
Diplomat_Charlie,diplomatic,222.56,70,10,0.0,1658.5465457980397,0.14285714285714285,3.1794285714285713
Analyst_Echo,analytical,180.17000000000002,70,4,0.0004988908767700195,372.0370178552347,0.05714285714285714,2.5738571428571433
Analyst_Foxtrot,analytical,-423.24,70,10,0.0,-1199.554951907316,0.14285714285714285,-6.046285714285714
