agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1295.29,70,25,0.0,5314.7128228707015,0.35714285714285715,18.504142857142856
Diplomat_Delta,diplomatic,797.49,70,23,0.0,4229.851130008669,0.32857142857142857,11.392714285714286
Aggressive_Alpha,aggressive,431.33000000000004,70,8,0.0,888.3952919525548,0.11428571428571428,6.161857142857143
Diplomat_Charlie,diplomatic,390.39000000000004,70,13,0.0,2287.9955947320004,0.18571428571428572,5.577000000000001
Analyst_Echo,analytical,140.0,70,2,0.0004907846450805664,457.11157831960395,0.02857142857142857,2.0
Aggressive_Beta,aggressive,119.98000000000002,70,10,0.00010297298431396484,-404.70202107099,0.14285714285714285,1.7140000000000002
Wildcard_Golf,wildcard,17.409999999999997,70,15,0.00013408660888671874,-935.2989665473463,0.21428571428571427,0.24871428571428567
Analyst_Foxtrot,analytical,-417.57,70,6,0.0,-1660.8531320537425,0.08571428571428572,-5.965285714285714
