agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1829.51,70,31,0.00016081717706495715,8756.887084338885,0.44285714285714284,26.135857142857144
Wildcard_Golf,wildcard,393.57,70,11,0.0004506111145019531,-413.5108251715254,0.15714285714285714,5.622428571428571
Aggressive_Alpha,aggressive,324.28000000000003,70,8,0.0002498030662536621,768.1370328317371,0.11428571428571428,4.632571428571429
Analyst_Echo,analytical,220.11,70,6,0.0,1059.4583080199413,0.08571428571428572,3.1444285714285716
Analyst_Foxtrot,analytical,214.64000000000001,70,7,0.00043542044503348213,-434.01491389986313,0.1,3.0662857142857143
Diplomat_Charlie,diplomatic,111.59,70,6,0.0,639.6583463159076,0.08571428571428572,1.594142857142857
Aggressive_Beta,aggressive,-118.17,70,10,9.968280792236329e-05,-1737.6782396225394,0.14285714285714285,-1.6881428571428572
Diplomat_Delta,diplomatic,-3449.04,70,25,0.00016045570373535156,862.7759748320723,0.35714285714285715,-49.272
