agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Aggressive_Beta,aggressive,1380.2500000000002,70,42,9.493600754510789e-05,2395.090800520084,0.6,19.717857142857145
Wildcard_Hotel,wildcard,1254.73,70,31,3.219419910061744e-05,5900.006230606315,0.44285714285714284,17.924714285714288
Aggressive_Alpha,aggressive,781.5200000000001,70,24,0.00033243497212727863,1087.6301076563227,0.34285714285714286,11.16457142857143
Analyst_Echo,analytical,763.72,70,16,0.0004987418651580811,1162.288870949429,0.22857142857142856,10.910285714285715
Diplomat_Charlie,diplomatic,735.6500000000001,70,23,4.336108332094939e-05,2958.7884468397383,0.32857142857142857,10.509285714285715
Wildcard_Golf,wildcard,601.73,70,23,8.671180061672045e-05,1711.1441772323706,0.32857142857142857,8.596142857142857
Analyst_Foxtrot,analytical,574.0600000000002,70,30,0.00019944508870442708,3592.0003792667044,0.42857142857142855,8.200857142857146
Diplomat_Delta,diplomatic,-2716.8899999999994,70,33,6.0413822983250476e-05,1289.1666179224665,0.4714285714285714,-38.81271428571428
