agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1973.4900000000002,70,46,0.00016118650851042375,6591.918627331029,0.6571428571428571,28.19271428571429
Aggressive_Beta,aggressive,1387.5200000000002,70,40,0.00013965964317321777,1671.7394868209622,0.5714285714285714,19.82171428571429
Analyst_Foxtrot,analytical,1130.91,70,31,6.434994359170236e-05,3359.1375204271994,0.44285714285714284,16.155857142857144
Aggressive_Alpha,aggressive,1046.5,70,29,0.00017189979553222656,392.2043265331354,0.4142857142857143,14.95
Analyst_Echo,analytical,782.1400000000001,70,16,0.000249326229095459,3510.5776874906105,0.22857142857142856,11.173428571428573
Diplomat_Delta,diplomatic,631.9399999999999,70,37,5.3876155131572e-05,2412.1844231442633,0.5285714285714286,9.027714285714286
Wildcard_Golf,wildcard,564.31,70,27,7.511951305248119e-05,17.783346680407135,0.38571428571428573,8.061571428571428
Diplomat_Charlie,diplomatic,346.46,70,14,0.0,1783.1345556127708,0.2,4.949428571428571
