agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Aggressive_Beta,aggressive,1454.06,70,38,0.0,4223.550407232046,0.5428571428571428,20.772285714285715
Diplomat_Delta,diplomatic,1154.8499999999997,70,41,0.0,3687.9705500196815,0.5857142857142857,16.49785714285714
Analyst_Foxtrot,analytical,1002.5,70,27,0.0,1575.9049673269983,0.38571428571428573,14.321428571428571
Aggressive_Alpha,aggressive,980.78,70,28,0.0005580697740827288,565.9851973537911,0.4,14.011142857142858
Wildcard_Hotel,wildcard,948.8699999999999,70,40,0.0,4411.97405169205,0.5714285714285714,13.555285714285713
Analyst_Echo,analytical,488.7900000000001,70,12,0.001302162806193034,465.72337713963043,0.17142857142857143,6.9827142857142865
Diplomat_Charlie,diplomatic,483.68999999999994,70,18,0.0,1584.0938219307336,0.2571428571428571,6.909857142857142
Wildcard_Golf,wildcard,-2622.44,70,26,0.0,-287.15231031304063,0.37142857142857144,-37.46342857142857
