agent,personality,total_score,matches_played,deals_made,avg_deal_time,total_profit_savings,win_rate,avg_score
Wildcard_Hotel,wildcard,1502.22,70,27,0.00018459779244882089,8036.764766488649,0.38571428571428573,21.460285714285714
Aggressive_Alpha,aggressive,912.2199999999999,70,15,0.0003318627675374349,2406.7794600414773,0.21428571428571427,13.031714285714285
Diplomat_Delta,diplomatic,505.13999999999993,70,21,0.00014321009318033853,2099.91425415361,0.3,7.216285714285713
Wildcard_Golf,wildcard,407.43,70,15,0.0002658208211263021,363.9457950485112,0.21428571428571427,5.820428571428572
Analyst_Echo,analytical,262.2,70,5,0.0005987644195556641,743.6819373422776,0.07142857142857142,3.7457142857142856
Diplomat_Charlie,diplomatic,259.04,70,12,0.000249326229095459,415.0927692480551,0.17142857142857143,3.700571428571429
Aggressive_Beta,aggressive,124.07,70,9,0.00011375215318467881,-649.8366270566719,0.12857142857142856,1.7724285714285712
Analyst_Foxtrot,analytical,-257.63,70,6,0.0,-1866.0741671139492,0.08571428571428572,-3.680428571428571
